Disease,Symptoms,Prevention,Treatment
Common Cold,"Runny nose, Sneezing, Sore throat, Cough, Mild fever","Wash hands regularly, Avoid close contact with sick people, Maintain good hygiene","Rest, Hydration, Over-the-counter cold medications"
Influenza,"Fever, Chills, Body aches, Cough, Fatigue","Annual flu vaccine, Hand hygiene, Avoiding sick people","Antiviral medications, Rest, Fluids"
Diabetes Type 2,"Increased thirst, Frequent urination, Fatigue, Blurred vision","Healthy diet, Regular exercise, Weight control","Oral medications, Insulin, Diet and exercise"
Hypertension,"Often none, Headaches, Shortness of breath, Nosebleeds","Low-sodium diet, Exercise, Avoiding alcohol and smoking","Antihypertensive drugs, Lifestyle changes"
Asthma,"Wheezing, Shortness of breath, Chest tightness, Coughing","Avoid triggers, Use preventive inhalers, Stay indoors on high-pollen days","Inhalers, Steroids, Bronchodilators"
Pneumonia,"Chest pain, Cough with phlegm, Fever, Fatigue, Shortness of breath","Vaccination, Hand hygiene, Avoid smoking","Antibiotics, Rest, Fluids"
Tuberculosis,"Persistent cough, Weight loss, Night sweats, Fever","BCG vaccination, Avoid close contact with TB patients, Good ventilation","Long-term antibiotics, DOTS therapy"
Malaria,"Fever, Chills, Sweating, Vomiting, Headache","Mosquito nets, Insect repellent, Antimalarial prophylaxis",Antimalarial medications
Dengue Fever,"High fever, Severe headache, Pain behind eyes, Joint/muscle pain, Skin rash","Avoid mosquito bites, Eliminate standing water, Use mosquito repellent","Pain relievers, Fluids, Rest"
COVID-19,"Fever, Cough, Loss of taste/smell, Breathing difficulty, Fatigue","Vaccination, Wearing masks, Hand hygiene, Social distancing","Supportive care, Antiviral medications, Oxygen therapy"
Chickenpox,"Itchy rash, Blisters, Fever, Fatigue","Varicella vaccine, Avoid contact with infected persons","Antihistamines, Calamine lotion, Antiviral medications"
Measles,"Fever, Cough, Runny nose, Rash, Red eyes","MMR vaccine, Avoid exposure","Vitamin A supplements, Fever reducers, Supportive care"
Hepatitis B,"Fatigue, Jaundice, Dark urine, Abdominal pain","Vaccination, Avoid sharing needles, Safe sex","Antiviral medications, Liver monitoring"
